First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Melanie,Franklin,199.17,USA,Mint,1,2,1,3927.0
Virginia,Rowland,186.0,Australia,Strawberry,0,5,0,13863.0
Troy,Romero,161.03,Australia,Chocolate,1,2,1,9752.0
Kristen,Monroe,180.48,Finland,Chocolate,0,5,0,16612.0
Casey,Glover,202.0,UK,Mint,0,5,1,2462.0
Ronald,Fernandez,148.49,China,Strawberry,0,0,0,3444.0
Kayla,Contreras,142.13,Sweden,Chocolate,0,6,0,4256.0
Jim,Medina,182.84,Germany,Stracciatella,0,2,0,13293.0
Nicholas,Monroe,140.06,Sweden,Pistachio,1,6,1,2780.0
Corey,Herman,175.7,France,Pistachio,0,4,1,6942.0
Diane,Ryan,189.99,Norway,Vanilla,0,4,1,4877.0
Ian,Henderson,190.12,Brazil,Stracciatella,1,6,0,12379.0
Jeremy,Gibson,152.4,Japan,Stracciatella,0,3,0,1917.0
Annette,Patrick,149.01,Italy,Chocolate,1,4,1,13940.0
Barbara,Cross,143.52,Italy,Stracciatella,1,1,0,11793.0
Jeremy,Ramos,164.39,Japan,Mint,0,3,1,8815.0
Kristina,Rasmussen,145.62,Germany,Vanilla,0,7,1,7231.0
Leslie,Garner,179.93,UK,Chocolate,0,3,1,1789.0
Troy,Fischer,166.33,Sweden,Chocolate,0,6,1,15575.0
Allison,Neal,168.3,Japan,Vanilla,0,0,0,13844.0
Earl,Duke,180.08,Japan,Vanilla,1,5,0,15702.0
Breanna,Conley,173.1,USA,Pistachio,0,7,1,10956.0
Devin,Roth,178.56,China,Strawberry,1,6,1,2074.0
Calvin,Sparks,158.03,Finland,Strawberry,1,2,1,15834.0
Bryan,Meyer,148.67,Australia,Pistachio,1,0,0,6004.0
Gina,Marks,146.02,Finland,Mint,1,4,1,15855.0
Tonya,Singh,142.88,Sweden,Pistachio,1,7,0,17329.0
Vincent,Clark,198.96,Brazil,Strawberry,1,0,1,15297.0
Debra,Ferrell,164.08,Brazil,Strawberry,1,5,0,11915.0
Julian,Wagner,139.57,Germany,Strawberry,1,2,1,3387.0
Carrie,Ortega,187.03,Brazil,Chocolate,1,0,0,16806.0
Tina,Mann,159.81,China,Chocolate,0,5,1,8952.0
Zoe,Walsh,161.19,USA,Chocolate,1,7,0,13949.0
Vincent,Thompson,153.89,France,Chocolate,1,4,0,15329.0
Charles,Henry,174.03,Germany,Strawberry,1,5,1,9952.0
Gene,Huerta,163.87,Sweden,Chocolate,1,1,0,12447.0
Grace,Stewart,184.92,Sweden,Stracciatella,0,5,0,18005.0
Marie,Calhoun,138.67,USA,Chocolate,0,7,1,10686.0
Tommy,Stuart,160.42,Denmark,Strawberry,0,5,1,8981.0
Levi,Parker,179.45,Japan,Mint,1,6,0,16153.0
Dorothy,Chang,143.61,UK,Pistachio,0,4,1,12162.0
Elaine,Jefferson,143.59,Finland,Strawberry,1,7,1,7203.0
Alejandro,Mills,136.83,China,Strawberry,1,0,1,17687.0
Melinda,Turner,187.85,China,Stracciatella,0,7,0,15429.0
Troy,Stein,148.89,Norway,Stracciatella,1,3,1,8467.0
Phillip,Dorsey,158.14,China,Pistachio,1,2,1,1860.0
Randall,Stephens,153.36,Finland,Mint,1,1,0,5306.0
Kathryn,Mendoza,160.89,Australia,Pistachio,0,7,1,11812.0
Melanie,Butler,152.21,Canada,Mint,1,6,0,9980.0
Olivia,Armstrong,138.63,UK,Pistachio,1,0,1,18055.0
Nichole,Carr,170.49,Norway,Mint,1,4,1,10627.0
Melissa,Hayes,154.24,UK,Vanilla,1,0,1,7012.0
Harry,Kline,154.11,Finland,Chocolate,0,2,0,3948.0
Carmen,Cook,176.46,Germany,Chocolate,0,4,1,3681.0
Kathy,Duncan,186.05,Sweden,Mint,0,6,1,14942.0
Christian,Medina,191.93,UK,Pistachio,0,3,1,7022.0
Diana,Mccarthy,198.8,Brazil,Mint,1,2,1,3069.0
Barbara,Parker,140.72,France,Stracciatella,0,2,1,8555.0
Christine,Blackburn,195.02,Australia,Vanilla,1,5,0,4561.0
Yvette,Buck,155.83,UK,Mint,1,1,1,3776.0
Trevor,Ayers,176.65,Germany,Mint,0,3,1,5241.0
Katie,Rangel,191.75,Finland,Strawberry,1,6,0,12090.0
Andrea,Wolf,190.48,Germany,Vanilla,1,5,1,5868.0
Elaine,Espinoza,173.88,Canada,Chocolate,1,5,0,15293.0
Tanya,Lawrence,146.11,Germany,Stracciatella,0,5,1,13633.0
Gary,Sanders,186.1,Germany,Mint,0,1,1,11276.0
Corey,Butler,202.12,Germany,Mint,0,6,1,18071.0
Sherry,West,151.0,Denmark,Mint,0,7,1,4238.0
Vicki,Mcdonald,164.04,France,Strawberry,1,5,0,1957.0
Tom,Stephenson,174.29,China,Vanilla,1,7,0,10531.0
Richard,Cordova,198.56,Denmark,Chocolate,0,3,0,1776.0
Shane,Ware,178.38,Germany,Pistachio,1,7,0,10140.0
Morgan,Valenzuela,200.18,Germany,Pistachio,1,0,1,5338.0
Sharon,Foster,176.13,Germany,Vanilla,0,3,0,5495.0
Sheena,Patel,177.89,Finland,Vanilla,0,2,1,12149.0
Hayley,Contreras,197.11,Canada,Strawberry,1,3,0,6267.0
Steve,Oconnell,167.84,Italy,Pistachio,0,3,1,12737.0
Kayla,Mendez,191.42,Finland,Chocolate,0,6,1,17479.0
Collin,Bryan,183.12,USA,Vanilla,1,5,1,13867.0
Brandy,Strickland,150.48,Canada,Vanilla,1,3,0,12449.0
Joel,Donaldson,194.98,Germany,Vanilla,0,6,1,3738.0
Todd,Anthony,148.91,China,Pistachio,1,2,1,9967.0
Kathy,Bender,166.23,Denmark,Strawberry,0,2,1,9151.0
Julian,Price,185.24,Japan,Stracciatella,0,6,0,13076.0
Cindy,Michael,172.84,France,Mint,0,7,1,16320.0
Cristina,Harrell,175.89,Germany,Pistachio,1,7,1,3258.0
Caleb,Watts,200.83,Germany,Vanilla,1,3,0,11888.0
Elizabeth,Alexander,189.78,China,Pistachio,0,2,1,15778.0
Tanya,Stout,160.65,Finland,Vanilla,0,0,1,16475.0
Gerald,Roberson,177.96,France,Pistachio,1,7,0,10063.0
Tracey,Buck,178.22,USA,Mint,0,4,1,10549.0
Amanda,Mooney,180.16,Finland,Pistachio,0,7,1,14568.0
Angela,Barrera,201.04,France,Chocolate,0,7,1,4829.0
Roberto,Washington,164.36,Australia,Strawberry,0,7,0,14216.0
Dawn,Faulkner,160.32,Germany,Pistachio,1,2,0,14574.0
Russell,Cole,145.33,Japan,Vanilla,1,2,1,3716.0
Aimee,Patterson,182.4,Canada,Chocolate,1,2,0,13276.0
Caitlin,Moreno,163.76,Sweden,Strawberry,1,1,1,12602.0
Corey,Gross,152.96,Sweden,Chocolate,1,3,1,12150.0
Clinton,Hansen,158.44,France,Chocolate,0,0,1,1393.0
Neil,Cameron,162.27,Italy,Chocolate,1,4,0,11981.0
Vincent,Walsh,164.07,France,Strawberry,1,7,1,7125.0
Katherine,Salazar,177.73,Denmark,Stracciatella,1,3,0,14324.0
Shane,Holland,148.41,USA,Mint,0,4,0,14201.0
Brandy,Dean,164.09,Italy,Vanilla,0,0,1,17286.0
Kyle,Mccarthy,151.87,Australia,Pistachio,0,4,0,6608.0
Eric,Joyce,201.28,China,Strawberry,1,5,1,9822.0
Patricia,Chung,198.65,Norway,Chocolate,0,3,1,17617.0
Shawn,Hickman,155.55,Italy,Strawberry,1,6,0,1705.0
Bethany,Russo,172.21,Brazil,Mint,1,2,0,9370.0
Mary,Decker,172.23,Denmark,Pistachio,1,6,0,15154.0
Michelle,Thomas,149.78,Finland,Mint,0,5,1,6473.0
Christina,Morris,157.33,Canada,Mint,0,4,0,14742.0
Cassandra,Garner,147.56,UK,Pistachio,1,4,1,14965.0
Todd,Francis,138.19,Japan,Chocolate,0,4,1,16669.0
Lindsay,Cantu,161.26,Australia,Chocolate,0,1,0,12811.0
Christine,Pennington,156.98,Finland,Mint,1,3,1,9132.0
Gerald,Baker,157.53,Brazil,Vanilla,0,5,0,16137.0
Chase,Valdez,194.24,Australia,Chocolate,1,1,1,4588.0
Anita,Cline,153.39,UK,Pistachio,0,4,0,16523.0
Molly,Navarro,157.1,Denmark,Chocolate,1,2,0,2331.0
Brian,Jennings,184.93,Canada,Chocolate,1,5,0,14181.0
Austin,Freeman,149.26,Brazil,Vanilla,0,0,1,15198.0
Tyrone,Garcia,200.33,Brazil,Mint,0,0,0,6210.0
Hayley,Copeland,153.7,Finland,Pistachio,0,6,1,10199.0
Tom,Acosta,177.44,France,Stracciatella,1,6,1,14481.0
Denise,Castro,147.27,USA,Pistachio,1,3,0,5110.0
Brad,Dyer,157.85,Australia,Strawberry,0,7,0,16004.0
Christian,Taylor,199.09,UK,Chocolate,0,7,1,3996.0
Zoe,Spence,151.2,Australia,Strawberry,0,3,1,1866.0
Cassandra,Holland,187.58,Brazil,Pistachio,0,0,0,1001.0
Timothy,Pena,202.69,Japan,Mint,1,3,0,14135.0
Jack,Duncan,184.05,Canada,Stracciatella,0,5,0,4403.0
Katherine,Peters,192.28,Germany,Strawberry,1,1,1,4826.0
Johnny,Villegas,196.26,UK,Pistachio,0,7,1,13689.0
Caleb,Henry,181.94,UK,Stracciatella,1,2,1,17577.0
Diana,Cunningham,182.31,Denmark,Mint,1,3,1,9663.0
Kevin,Carpenter,202.11,UK,Pistachio,1,2,1,8299.0
Javier,Pena,155.28,USA,Vanilla,0,2,0,17140.0
Caroline,Cantu,168.96,Italy,Chocolate,1,5,0,6457.0
Phillip,Peck,202.75,Sweden,Stracciatella,1,4,0,9116.0
Charles,Bishop,142.35,Finland,Vanilla,0,3,1,18074.0
Pamela,James,166.47,Australia,Pistachio,1,1,1,7773.0
Mark,Weeks,155.76,Brazil,Strawberry,0,1,1,4307.0
Kristina,Thompson,196.39,Sweden,Vanilla,1,7,1,14023.0
Shaun,Wagner,168.04,Norway,Chocolate,1,3,1,16422.0
Jonathon,Dorsey,201.91,Germany,Chocolate,1,5,0,9678.0
Brian,Duke,173.02,USA,Chocolate,1,1,0,13786.0
Alicia,Sullivan,180.26,Italy,Chocolate,0,6,1,2119.0
Walter,Carpenter,178.88,France,Pistachio,0,4,0,16372.0
Jamie,Hammond,141.25,Brazil,Vanilla,0,6,0,7872.0
Alicia,Sanchez,184.78,Australia,Pistachio,0,4,1,12040.0
Jack,Nelson,175.19,Brazil,Chocolate,1,1,1,3002.0
Renee,Townsend,175.31,Finland,Mint,1,2,0,5300.0
Charles,Daniels,151.09,Norway,Vanilla,0,3,0,3213.0
Madison,Webster,201.89,Denmark,Chocolate,1,4,0,2369.0
Monica,Carpenter,178.78,UK,Mint,1,3,1,17663.0
Jasmine,Austin,199.47,France,Stracciatella,1,3,1,7253.0
Dwayne,Jones,183.92,Germany,Mint,0,7,0,12623.0
Annette,Vargas,158.99,Japan,Stracciatella,1,6,0,2087.0
Shane,Cooke,178.52,France,Pistachio,0,7,1,1023.0
Charlene,Larson,184.67,Brazil,Strawberry,0,6,0,3952.0
Brenda,Carter,164.92,Germany,Vanilla,1,1,1,17473.0
Katelyn,Harvey,144.17,Finland,Stracciatella,1,7,0,1680.0
Alexander,Shaw,176.41,USA,Vanilla,1,7,1,1635.0
Matthew,Avery,158.67,Canada,Pistachio,0,4,1,4035.0
Alexandria,Preston,194.08,USA,Stracciatella,1,6,0,10084.0
Jenny,Parsons,138.32,Norway,Strawberry,0,4,1,8734.0
Benjamin,Wilson,166.16,Australia,Stracciatella,0,3,0,11642.0
Earl,Huber,150.83,USA,Mint,1,6,1,10358.0
Erica,Blackwell,181.86,Australia,Strawberry,1,6,1,3655.0
Anita,Klein,162.95,Finland,Chocolate,1,7,1,7068.0
Alexander,Cohen,183.71,Brazil,Strawberry,0,4,1,12190.0
Kimberly,Jordan,153.04,UK,Chocolate,1,0,1,13165.0
Ryan,Smith,194.6,France,Chocolate,0,7,1,4267.0
Hannah,Sexton,172.52,Germany,Pistachio,1,3,1,2803.0
Melissa,Stanley,176.11,Denmark,Mint,0,1,1,9560.0
Melissa,Griffith,147.68,France,Vanilla,1,0,1,5000.0
Christine,Esparza,180.89,Brazil,Chocolate,1,3,0,1321.0
Sherry,Yang,142.83,Norway,Vanilla,1,6,1,16885.0
Carlos,Hendrix,160.49,Germany,Vanilla,0,1,1,4802.0
Bernard,Wood,186.41,Finland,Vanilla,1,4,1,2743.0
Evelyn,Meza,161.13,Norway,Vanilla,1,7,1,10108.0
Holly,Walsh,141.8,UK,Pistachio,0,1,1,16307.0
Todd,Anderson,140.4,Australia,Mint,1,6,1,4291.0
Stanley,Archer,170.43,France,Strawberry,0,1,1,4865.0
Jeanette,Gibson,145.77,Norway,Pistachio,0,7,1,16397.0
Kelsey,Barker,157.44,Canada,Mint,0,7,0,1388.0
Jessica,Wilkins,184.2,Italy,Chocolate,0,7,0,13520.0
Collin,Jones,199.37,Germany,Pistachio,1,1,1,15804.0
Shari,Fox,160.92,USA,Mint,0,2,1,6628.0
Javier,Nichols,152.29,Canada,Pistachio,0,6,0,14003.0
Bernard,Romero,193.71,Canada,Stracciatella,0,1,0,16754.0
Lisa,Moran,191.27,Canada,Mint,0,2,0,17063.0
Nancy,Norton,146.79,Brazil,Stracciatella,0,3,1,4977.0
Christian,Ford,185.4,Germany,Chocolate,0,7,0,13518.0
Roberto,Barajas,152.77,USA,Strawberry,1,5,0,17935.0
Sonia,Hanna,198.15,Germany,Mint,1,4,1,9775.0
Kathy,Hernandez,140.21,Brazil,Vanilla,0,3,0,10497.0
Cassandra,Knight,153.83,Norway,Stracciatella,1,1,1,8732.0
Jillian,Mason,145.04,Sweden,Stracciatella,0,2,1,4075.0
Gabriel,Vincent,156.16,Germany,Stracciatella,0,2,0,11477.0
Lars,English,154.36,Germany,Mint,0,1,1,7011.0
Sarah,Ball,159.28,UK,Vanilla,0,4,0,13665.0
Francis,Anderson,151.55,Finland,Mint,0,6,1,4572.0
Noah,Norris,175.96,Australia,Pistachio,0,6,1,8823.0
Katherine,Nelson,172.8,Norway,Stracciatella,1,4,0,11813.0
Caroline,Gaines,151.54,China,Stracciatella,1,4,0,10573.0
Morgan,Schultz,161.73,USA,Strawberry,1,6,0,9257.0
Breanna,Huynh,197.18,France,Pistachio,1,4,1,14398.0
Austin,Bartlett,171.63,France,Stracciatella,0,7,0,13045.0
Brian,Vargas,161.01,China,Vanilla,1,4,0,17005.0
Jesse,Garza,198.15,USA,Strawberry,1,0,1,4303.0
Alexis,Adams,144.19,Italy,Pistachio,1,0,1,6354.0
Phyllis,Munoz,149.63,Sweden,Strawberry,1,0,1,5120.0
Gregory,Tucker,159.61,Norway,Pistachio,0,4,0,13281.0
Jonathan,Schneider,140.83,Germany,Stracciatella,0,7,0,6195.0
Neil,Michael,201.6,Australia,Pistachio,1,5,1,10154.0
Veronica,Wheeler,180.37,Australia,Mint,0,7,0,12395.0
Ian,Perkins,191.27,USA,Stracciatella,1,6,0,17917.0
Natalie,Mckenzie,138.96,Brazil,Pistachio,0,5,0,17402.0
Cory,Page,176.23,Italy,Mint,0,3,1,14734.0
Cheryl,Jennings,178.16,China,Stracciatella,0,7,0,5500.0
Henry,Mack,184.3,Brazil,Pistachio,1,3,1,7438.0
Brent,Wolf,158.79,USA,Mint,0,4,0,16137.0
Steve,Meadows,171.22,Canada,Vanilla,1,4,0,6399.0
Eddie,Gill,156.04,Japan,Vanilla,1,0,1,13915.0
Sean,Patel,179.1,Australia,Mint,0,7,0,12075.0
Troy,Black,156.31,Japan,Mint,1,4,1,3962.0
Aaron,Kline,189.35,Brazil,Stracciatella,1,7,0,16586.0
Lauren,Wheeler,182.48,Norway,Mint,1,3,1,13947.0
Madison,Garcia,155.16,USA,Vanilla,0,0,1,14489.0
Cody,Salazar,186.53,Finland,Mint,1,6,1,2398.0
Frederick,Porter,193.91,China,Mint,0,6,1,4255.0
Stephanie,Jenkins,141.34,Norway,Mint,1,2,1,7932.0
Spencer,Parsons,153.33,UK,Vanilla,1,7,0,4807.0
Annette,Herman,150.22,USA,Vanilla,1,7,0,11358.0
Cameron,Buck,143.43,Sweden,Vanilla,1,6,1,6799.0
Bobby,Patrick,174.95,UK,Vanilla,0,2,1,12821.0
Stacy,Duncan,158.71,Canada,Mint,1,3,0,1784.0
Laurie,Hamilton,178.94,Brazil,Chocolate,1,5,0,7219.0
Sharon,Cole,183.44,Sweden,Vanilla,0,5,1,14270.0
Curtis,Bryan,166.28,Canada,Vanilla,1,1,0,17842.0
Jeanette,Davis,191.12,Germany,Pistachio,0,0,0,13711.0
Briana,Blankenship,169.86,Italy,Strawberry,1,3,1,15349.0
Lynn,Bond,184.44,China,Chocolate,0,7,1,13378.0
Vanessa,Craig,154.67,UK,Vanilla,1,1,1,11374.0
Linda,Simmons,140.78,Japan,Stracciatella,1,6,1,9820.0
Collin,Gibson,148.92,China,Pistachio,0,0,1,16181.0
Stephen,Strickland,145.69,Germany,Strawberry,0,2,1,4251.0
Kiara,Melton,153.3,Denmark,Pistachio,0,4,1,4347.0
Sheena,Preston,196.6,China,Pistachio,1,4,1,14250.0
Samuel,Coleman,199.05,Germany,Chocolate,1,6,1,15628.0
Jose,Golden,158.84,China,Pistachio,0,7,0,13370.0
Robert,Thompson,167.17,Germany,Strawberry,0,1,1,13791.0
Samantha,Faulkner,191.43,Australia,Stracciatella,1,0,1,4126.0
Andrea,Douglas,200.1,Germany,Vanilla,0,2,1,5716.0
Bailey,Simpson,190.8,Australia,Strawberry,0,0,1,13838.0
Cristina,Walsh,151.95,UK,Stracciatella,0,4,1,15603.0
Virginia,Harrison,172.82,Denmark,Pistachio,1,7,1,10832.0
Andre,Stout,190.6,Brazil,Chocolate,0,5,1,4930.0
Renee,Hunt,168.45,Norway,Chocolate,1,5,0,13288.0
Leah,Garrett,181.19,Italy,Mint,0,0,1,16193.0
Steve,Ryan,167.92,Brazil,Stracciatella,0,5,1,13746.0
Raymond,Cooke,178.09,Canada,Strawberry,1,4,0,5000.0
Ruth,Ewing,166.21,Germany,Pistachio,0,0,1,11176.0
Harry,Maynard,200.93,Germany,Vanilla,1,4,1,10903.0
Miranda,Church,142.82,Brazil,Mint,0,4,1,10906.0
Veronica,Saunders,143.96,China,Pistachio,1,2,1,7127.0
Melinda,Hernandez,163.16,Germany,Mint,1,2,0,11007.0
Bethany,Kerr,146.99,China,Stracciatella,0,0,0,4612.0
Matthew,Woodward,186.98,Germany,Strawberry,1,0,0,1862.0
Gordon,Ball,168.54,UK,Strawberry,0,5,1,10437.0
Sergio,Pena,187.42,China,Vanilla,1,0,1,2084.0
Barbara,Manning,191.16,France,Mint,1,6,0,2692.0
Sergio,Calhoun,142.32,France,Pistachio,1,1,1,14396.0
Edgar,David,172.59,Brazil,Pistachio,0,2,1,16688.0
Charles,Quinn,193.0,Australia,Strawberry,1,4,0,5401.0
Madison,Kerr,183.26,Japan,Stracciatella,1,6,0,6245.0
Brooke,Bennett,154.47,Canada,Chocolate,0,2,1,16143.0
Stephen,Porter,154.19,France,Pistachio,0,1,0,10809.0
Kyle,Wolfe,198.99,Japan,Pistachio,1,4,1,14661.0
Yvette,Armstrong,147.32,Sweden,Mint,0,3,1,5250.0
Donald,White,167.81,Italy,Vanilla,1,1,1,14128.0
Vicki,Gill,171.98,China,Strawberry,1,1,1,9864.0
Elaine,Barber,171.48,Canada,Stracciatella,0,0,0,8861.0
Hailey,Mcbride,183.41,Finland,Mint,1,1,1,1693.0
Melissa,Lee,199.18,Canada,Vanilla,1,1,0,13242.0
Dustin,Mendez,159.74,China,Mint,0,3,0,5330.0
Melvin,Cordova,175.27,Norway,Vanilla,1,5,1,10627.0
Kristen,Sparks,190.32,Denmark,Strawberry,0,3,0,3179.0
Gail,Stanton,144.6,China,Vanilla,0,2,1,6916.0
Cristina,Quinn,191.71,China,Pistachio,1,1,1,2641.0
Pamela,Cordova,152.59,France,Mint,0,7,0,13197.0
Christina,Sanders,158.82,Norway,Vanilla,0,1,0,7531.0
Jonathon,Duncan,176.06,Norway,Mint,0,6,0,3277.0
Diane,Huerta,159.14,Denmark,Vanilla,1,2,1,10260.0
Tanner,Arellano,180.31,China,Vanilla,1,1,1,7649.0
Ruben,Ryan,166.66,USA,Chocolate,1,0,0,9782.0
Nichole,Harrell,158.22,Finland,Pistachio,1,1,1,7245.0
Harry,Norman,179.78,Italy,Pistachio,0,5,1,16045.0
Shaun,Leon,159.81,Japan,Pistachio,0,5,0,4559.0
Anna,Gibson,147.54,Australia,Pistachio,1,3,0,14595.0
Brittany,Boyle,149.43,Germany,Vanilla,1,0,0,10160.0
Gordon,Perkins,195.05,Australia,Stracciatella,1,0,0,5373.0
Susan,Sweeney,182.72,Germany,Chocolate,0,4,0,8825.0
Erin,Dyer,196.29,China,Strawberry,1,1,1,17135.0
Janet,Hudson,188.39,Italy,Chocolate,1,0,0,16453.0
Rebecca,Mccann,179.82,Germany,Mint,0,6,0,11935.0
Rickey,Roth,181.11,Germany,Stracciatella,1,3,0,14136.0
Bryan,Archer,186.12,UK,Strawberry,0,5,0,5906.0
Leah,Webster,188.89,Denmark,Mint,0,3,0,2769.0
Joan,West,170.34,Sweden,Stracciatella,1,6,1,3295.0
Eric,Berry,162.55,UK,Mint,0,0,1,15910.0
Marcus,Ferguson,150.5,Canada,Strawberry,0,5,0,6929.0
Gregory,Moran,180.28,Sweden,Mint,1,2,1,3249.0
Tamara,Lang,196.47,UK,Vanilla,0,2,1,14377.0
Dwayne,Mcdaniel,143.66,Canada,Mint,0,5,0,4237.0
Glenda,Wagner,170.08,Italy,Strawberry,0,7,0,5291.0
Erica,Castro,148.45,Norway,Chocolate,1,4,1,8481.0
Debbie,Aguilar,150.15,Australia,Pistachio,0,5,0,6541.0
Marcus,Morgan,149.33,Norway,Vanilla,1,1,1,5308.0
Bryce,English,138.29,Germany,Chocolate,1,6,1,16351.0
Francis,Hamilton,145.73,Japan,Strawberry,0,7,0,15070.0
Victor,Rich,149.5,Sweden,Pistachio,1,0,1,5225.0
Charles,Bird,197.8,USA,Strawberry,0,6,0,16756.0
Betty,Burton,185.24,Australia,Vanilla,0,1,0,6212.0
Joy,Ramirez,151.39,Sweden,Strawberry,1,4,0,1648.0
Maria,Bird,148.74,Norway,Chocolate,0,0,1,5935.0
Samuel,Bartlett,171.0,China,Strawberry,1,7,1,12571.0
Daniel,Flynn,172.94,UK,Pistachio,0,2,1,15985.0
Jonathon,Rojas,198.15,Italy,Vanilla,0,7,0,13417.0
Carrie,Cunningham,168.11,Australia,Vanilla,0,5,0,11056.0
Kim,Dominguez,181.64,Italy,Mint,1,2,1,2818.0
Miranda,Mora,186.33,China,Vanilla,1,3,1,2102.0
Bernard,Wolfe,151.71,France,Vanilla,1,7,1,7757.0
Carrie,Campbell,151.91,Germany,Vanilla,1,5,1,17966.0
Arthur,Mooney,195.71,Sweden,Chocolate,0,6,0,7274.0
Alicia,Foster,169.91,Australia,Pistachio,1,4,1,7633.0
Heidi,Hebert,138.44,Canada,Stracciatella,0,4,0,2512.0
Joshua,Larson,173.17,China,Strawberry,1,2,1,6214.0
Ann,Hogan,165.82,Norway,Vanilla,0,1,1,2694.0
Martha,Peterson,175.1,UK,Strawberry,1,2,0,5013.0
Katherine,Ayala,155.51,Germany,Stracciatella,0,4,1,4257.0
Patrick,Collier,162.33,Italy,Mint,0,0,0,17432.0
Deanna,Wise,145.65,USA,Vanilla,0,3,1,14765.0
Laura,Chaney,170.34,Italy,Chocolate,0,7,0,13704.0
Vicki,Neal,161.76,Norway,Pistachio,1,0,1,8439.0
Blake,Klein,190.9,Canada,Mint,0,0,1,1686.0
Sara,Knox,139.71,Finland,Chocolate,1,1,1,3354.0
Brandi,Ball,186.26,Australia,Pistachio,1,1,0,15137.0
Laura,Chen,162.74,Denmark,Chocolate,0,5,0,1043.0
Donald,Velez,173.13,Brazil,Vanilla,0,5,1,10766.0
Andrew,Whitaker,186.4,Sweden,Strawberry,0,3,1,6158.0
Joann,Jenkins,147.04,Italy,Mint,1,1,0,14209.0
